"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NACLIND","NACL Industries Limited","EQ","Rights 5:31 @ Premium Rs 75.70/-","1","12-Dec-2025","12-Dec-2025","-","-"
"KRISHIVAL","Krishival Foods Limited","EQ","Rights 45:301 @ Premium Rs 290/-","10","17-Dec-2025","17-Dec-2025","-","-"
"VINEETLAB","Vineet Laboratories Limited","EQ","Rights 13:12 @ Premium Rs 20/-","10","23-Dec-2025","23-Dec-2025","-","-"
"HILTON","Hilton Metal Forging Limited","EQ","Rights 14:29 @ Premium Rs 18.32/-","10","26-Dec-2025","26-Dec-2025","-","-"
"SILGO","Silgo Retail Limited","EQ","Rights 3:10 @ Premium Rs 50/-","10","05-Jan-2026","05-Jan-2026","-","-"
"STALLION","Stallion India Fluorochemicals Limited","EQ","Rights 19:41 @ Premium Rs 89/-","10","11-Feb-2026","11-Feb-2026","-","-"
"ONELIFECAP","Onelife Capital Advisors Limited","EQ","Rights 300:167 @ Premium Rs 5/-","10","16-Feb-2026","16-Feb-2026","-","-"
"SADHNANIQ","Sadhana Nitrochem Limited","EQ","Rights 8:1 @ Premium Rs 0/-","1","18-Feb-2026","19-Feb-2026","-","-"
"SICALLOG","Sical Logistics Limited","EQ","Rights 11:5 @ Premium Rs 54/-","10","18-Feb-2026","18-Feb-2026","-","-"
"HILTON","Hilton Metal Forging Limited","EQ","Rights 29:60 @ Premium Rs 6.68/-","10","24-Feb-2026","24-Feb-2026","-","-"
"BHANDARI","Bhandari Hosiery Exports Limited","EQ","Rights 4:5 @ Premium Rs 1.56/-","1","25-Feb-2026","25-Feb-2026","-","-"
"HCG","Healthcare Global Enterprises Limited","EQ","Rights 1:17 @ Premium Rs 502/-","10","02-Mar-2026","02-Mar-2026","-","-"
"PRABHA","Prabha Energy Limited","EQ","Rights 5:14 @ Premium Rs 143/-","1","11-Mar-2026","11-Mar-2026","-","-"
"5PAISA","5Paisa Capital Limited","EQ","Rights 1:2 @ Premium Rs 290/-","10","17-Mar-2026","17-Mar-2026","-","-"
"MAHAPEXLTD","Maha Rashtra Apex Corporation Limited","EQ","Rights 1:1 @ Premium Rs 0/-","10","20-Mar-2026","20-Mar-2026","-","-"
"TIL","TIL Limited","EQ","Rights 11:64 @ Premium Rs 155/-","10","23-Mar-2026","23-Mar-2026","-","-"
"EFCIL","EFC (I) Limited","EQ","Rights 8:103 @ Premium Rs 148/-","2","07-May-2026","07-May-2026","-","-"
"ESSENTIA","Integra Essentia Limited","EQ","Rights 161:250 @ Premium Re 0.45 /-","1","20-May-2026","20-May-2026","-","-"
"AVG","AVG Logistics Limited","EQ","Rights 8:33 @ Premium Rs 135/-","10","21-May-2026","21-May-2026","-","-"
"SHAH","Shah Metacorp Limited","EQ","Rights 36:311 @ Premium Rs 3.86","1","27-May-2026","27-May-2026","-","-"
"RELTD","Ravindra Energy Limited","EQ","Rights 1:9 @ Premium 91","10","08-Jun-2026","08-Jun-2026","-","-"
"SUMEETINDS","Sumeet Industries Limited","EQ","Rights 8:25 @ Premium Rs 9.86/-","2","12-Jun-2026","12-Jun-2026","-","-"
"GANGAFORGE","Ganga Forging Limited","EQ","Rights 3:2 @ Premium Re. 0.63/-","1","02-Jul-2026","02-Jul-2026","-","-"
"GENESYS","Genesys International Corporation Limited","EQ","Rights 3:5 @ Premium Rs 45/-","5","06-Aug-2026","06-Aug-2026","-","-"
"SHANTIGOLD","Shanti Gold International Limited","EQ","Rights 19:295 @ Premium Rs 205/-","10","06-Aug-2026","06-Aug-2026","-","-"
"KSHITIJPOL","Kshitij Polyline Limited","EQ","Rights 2:5 @ Premium Rs 1.17/-","2","19-Aug-2026","19-Aug-2026","-","-"
"VHLTD","Viceroy Hotels Limited","EQ","Rights 6:7 @ Premium Rs 105/-","10","20-Aug-2026","20-Aug-2026","-","-"
"DUCON","Ducon Infratechnologies Limited","EQ","Rights 10:13 @ Premium Rs 0/-","1","25-Aug-2026","25-Aug-2026","-","-"
"QUINT","Quint Digital Limited","EQ","Rights - 7 Ccps And 7 Warrants:40","10","25-Aug-2026","25-Aug-2026","-","-"
"RATNAVEER","Ratnaveer Precision Engineering Limited","EQ","Rights 7:40 @ Premium Rs 254/-","10","25-Aug-2026","26-Aug-2026","-","-"
"JAYKAY","Jaykay Enterprises Limited","EQ","Rights 3:19 @ Premium Rs 74/-","1","28-Aug-2026","28-Aug-2026","-","-"
"CENTEXT","Century Extrusions Limited","EQ","Rights 3:8 @ Premium Rs 14/-","1","15-Sep-2026","15-Sep-2026","-","-"
